"","team2","Season","team1","Margin","Won","Team.x","Conference.x","Team.y","Conference.y","Rank.x","AdjEM.x","AdjOE.x","AdjDE.x","AdjT.x","Luck.x","SOS.x","OppAdjOE.x","OppAdjDE.x","NonConSOS.x","eFGPct.x","TOPct.x","ORPct.x","FTRate.x","OppeFGPct.x","OppTOPct.x","OppORPct.x","OppFTRate.x","FGPct3.x","FGPct2.x","FTPct.x","BlkPct.x","StlPct.x","AssistPct.x","PctFGA3.x","OppFGPct3.x","OppFGPct2.x","OppFTPct.x","OppBlkPct.x","OppStlPct.x","OppAssistPct.x","OppPctFGA3.x","PctPtsFrom1.x","PctPtsFrom2.x","PctPtsFrom3.x","OppPctPtsFrom1.x","OppPctPtsFrom2.x","OppPctPtsFrom3.x","WinPct.x","SRS.x","PPG.x","FGMPG.x","FGPCT.x","FGM3PG.x","ORBPG.x","TRBPG.x","AstPG.x","StlPG.x","BlkPG.x","TOPG.x","ASTtoTO.x","OppFGMPG.x","OppFGPCT.x","OppFGM3PG.x","OppORBPG.x","OppTRBPG.x","OppAstPG.x","OppStlPG.x","OppBlkPG.x","OppTOPG.x","OppASTtoTO.x"
"42",1124,2014,1166,-30,0,"creighton","BE","baylor","B12",-0.161782288311371,0.252320965268373,0.999818724165073,0.635888236363398,0.426766201733718,0.243065253149349,-0.585078533048673,-0.734079599493657,0.200278624612887,-0.107782592114819,2.96516439742177,-1.34552369339883,-3.20142447585294,-2.37226679405778,-0.0939562356709164,-0.490753004803718,-1.44424423383956,0.116958728631652,1.30079524341919,2.90649368522616,1.77159036943008,0.716170922641469,-0.662748050883509,1.14830961183345,1.78854874937826,-0.677852965144227,0.257127261167912,1.00107231493815,-3.37226547797755,-1.06268410249363,-2.24849030251987,0.494189845863977,-2.3669880333327,-0.769095885330631,1.77263469992043,0.284323097152615,-0.268016126587838,0.0456319613294134,0.810329856338397,0.286073492569762,0.757887954188192,1.05559401153686,1.91026711381807,2.08885954482279,-3.15026031099307,-1.4403645975778,1.49986638510896,-1.01238040167287,-3.13648723310269,-1.13083274095404,2.61967000987957,-0.127480681920178,0.066780114850759,-0.0934239743666246,-1.03784559139812,0.0304335654306169,-1.81412925920061,-0.56675415854497,-0.0405462697569456,-0.429110698096136,-1.03125650928336
"43",1124,2014,1304,-14,0,"nebraska","B10","baylor","B12",0.651066684138903,-0.826636246991887,-1.66729641285296,-0.623799543300549,0.647160717033139,0.784572800418547,-0.233435339967302,-0.734079599493657,-0.412345927092762,-0.784397431669433,-1.1892512695455,-0.518267316623939,-3.69541604493692,-0.606877387654127,-0.436886620204467,1.17027812611141,-1.02836443462207,2.21182318617771,-1.84273642880256,-0.35550049222112,1.01819288807655,0.586599849612378,-0.146838594125019,-3.11324616588872,-0.208984280851666,-1.93618784961796,0.512085684216667,0.393440215353342,-1.58991337271251,1.49062530904204,-2.20630124055846,0.770555725974487,0.339892653694288,0.539969572947186,-0.666105564962062,2.17567845940901,-0.92703477572776,-0.738057742828605,-1.00799236351528,-0.796425800373605,-1.6494885662705,-1.40530632254538,-1.26327457976007,-1.22170153329278,-2.96440325633738,-1.76441062170954,-2.98784267265738,1.24406438533359,-1.80179557631817,-0.423825566943458,-2.12394182599379,-1.43388302290263,-0.227472234292952,-1.08991117587131,-0.997428675493724,1.43357044869182,-2.62080626810231,-0.0357796753625603,0.612800748332726,1.0758809761969,-3.49449910378157
"47",1125,2012,1207,15,1,"georgetown","BE","belmont","ASun",-0.184683980207079,0.448210981125304,-0.977265271228501,-1.8851455283949,-1.62517558335186,-0.0225681959910785,1.75711768305285,1.30579226212839,-1.68470978328656,0.00636960307062859,-1.57742370278837,0.983512311395436,0.219122166740689,0.0045573131362508,-2.18978700725436,-0.266308750376184,-0.577827985469798,0.136939362366149,-1.45956985830607,-1.06784062779404,-1.0877688810124,-3.28842463434182,0.855315103672253,-1.39727438650693,-1.89865606286756,-2.90436822006211,-1.13096850133101,1.00367857565581,2.45533492394843,-0.631634409180502,0.555425438686028,0.518137075040216,0.201257751567142,1.88183814926274,-1.83621253139296,0.949555283504438,-0.309685797096468,-0.454669399297233,-0.535412961488252,0.636497652803778,-2.40834701203246,-1.66516146311044,-0.67349633349139,-2.5787924823514,-0.146930502677303,0.190810826882899,-2.0449979032016,-0.932251138360795,1.95050540782695,0.240623517663737,-1.70140965359081,-1.95564839153402,-1.98955691884004,-1.09509024351729,-0.386972386441699,-1.05117567578789,-0.941715086242971,0.338859235092587,-2.69106757339347,-0.830483785522477,-0.0146501043942932
"56",1133,2006,1272,16,1,"memphis","CUSA","bradley","MVC",-0.372264512310988,0.772243572286243,0.721834188640902,-0.383690519437996,0.992514539552919,0.209634648205757,-0.306419728671715,-0.27360715403534,0.236535851061708,3.03879549120745,0.939756038621409,-0.0109028413994423,1.46945840925203,1.05683253780894,-1.12751655944063,0.145644319284219,0.221479861422664,1.45006244673873,0.657489279985609,0.786733865763396,-1.10446487380421,-0.0637320919482349,-0.873568412609674,-1.76884646817438,1.06302150393434,-0.339659447818765,-1.19112997411892,-1.97134918177282,1.39003862999411,0.406778244278069,0.573463947446972,-0.318812344768135,0.204305627504364,-1.08011252287132,0.911329494990955,1.3731447135686,-0.685718162390841,-0.381363291003405,2.22292397993124,0.914439797970025,1.68116261904516,1.12765162362043,0.560510095063597,1.43604449191183,NA,1.22929107223787,-0.491958423256735,0.713758171701158,1.35612391327942,0.426752320347779,-0.492740042971203,-0.52674933149974,-1.11897490787247,NA,NA,-0.011598677244282,NA,NA,NA,NA,NA
"58",1137,2011,1163,29,1,"connecticut","BE","bucknell","Pat",-1.60369634251498,1.89643862971055,1.533550825224,-1.36432263916576,-0.107405837699986,-0.403936575331309,2.99179812918913,2.18093801476043,-2.84112908124799,0.996728289264217,-1.07576357943178,0.0386915367013028,3.21837144030098,-0.0415271113411853,-0.31305689617345,-0.323935769442495,1.55754167834449,-1.44671836760221,-2.76661348933208,0.319565489358746,-0.792525804921096,0.842715068940926,0.804115382090395,-1.736450858417,-0.418973170886819,0.531585095266714,-0.567332944814436,-0.835863439255519,1.48529832659074,1.24017339582806,-1.0225467325345,-1.18261457109599,0.0571192915464142,1.26838664763039,-1.19712159038002,-1.546354846761,1.33332812549582,-0.199860196626298,0.379505253081868,2.0146974660838,0.394555034670897,0.678875371816377,-0.564381044719741,-0.960357929788485,3.47347477316556,1.936840673401,-0.814104808154133,1.11558976507236,1.8975660706357,0.0675559709143413,-0.751568349289869,0.997325678465541,-0.0779014739930668,-0.0777416880440557,2.09023787463404,0.489061153594268,-0.13413035036176,0.882791514802057,1.61936693844131,-0.147260730073957,0.033901879730899
"60",1139,2008,1375,-20,0,"south alabama","SB","butler","Horz",0.951344441007113,-0.988651564126104,-0.691498882900188,0.822942987561379,1.67210550995383,-0.119797502395532,-0.835851762051088,-0.326955196322605,1.12303195438895,-0.821560000225763,-0.0632276693849918,1.77703515767256,2.31683482857795,1.93141552254825,0.214189059743924,-1.07797674438789,-0.960521067014017,-0.289545888455008,-0.500985105293281,0.769334759291672,-1.00555239876806,-0.705808778791661,2.41222880103468,0.645328386046884,-2.97567216404949,0.870380367458515,-0.299589863926681,0.0982830742563779,0.414776674916172,-0.908623718725821,2.26777360777986,1.55552943784977,1.33057461821606,2.63330794018068,-3.06941352852913,-0.296012052270421,-1.46328910304959,1.80145420766634,-1.05200257940432,-0.757951070980166,1.22477084611261,1.3213052694545,1.12597932332836,-2.22986146882577,NA,2.33434197147621,1.27333397842412,-0.344929191318343,0.443516609430757,2.12638925362535,-0.80043812752615,1.18409585589895,-0.433747171349469,NA,NA,-0.242178492805643,NA,NA,NA,NA,NA
"63",1139,2010,1277,-2,0,"michigan st.","B10","butler","Horz",0.163704746839967,-0.277862535300332,0.189954564696563,0.737132712430024,0.623240639025383,-0.134532916869041,0.610521900824004,0.386437476109002,-0.626073694331441,-2.35332015989143,0.218614769361915,1.2673032470442,2.31821006121738,-2.15908423899777,0.0588862853731121,-1.25649342462852,0.146173590717983,-0.56148583143675,0.0429715433444195,0.28057202855255,-1.53646817126615,-2.71113348401294,1.4868746856102,1.39364712976377,-2.60213204191075,0.579982590823393,-0.323905240802317,1.35473963211098,0.932821886738205,-0.561470727673531,1.06292456877519,1.44333435176105,-2.56903613616065,3.23391545128028,-1.81381710445678,-0.318611324200567,-1.27850850054626,1.60024261340601,-1.22771618738951,0.101609329686408,0.586746263467687,2.05682028990943,1.3028977597051,-1.43138334266344,2.26440212439601,1.93599061141003,2.2912242233765,-0.380850302359996,0.817351811840992,1.18996462926121,0.784440628917559,0.697923707974537,-0.424203507465859,1.76684952452547,0.986975737197708,-0.122561717537446,1.20592544344452,1.71601689226951,-1.07704451388907,-0.791351823470776,1.47854243895033
"69",1139,2013,1137,-12,0,"bucknell","Pat","butler","A10",0.392225314123858,-0.373820368338339,-0.620847989986956,-0.106624706018298,-0.5903686344857,-2.35896977435128,-1.76258564468232,-1.33940902467983,1.60595908117292,-0.930540700694549,-0.450727025214303,-2.38379243584081,-1.70170160816997,-0.574570157659861,-1.74265269184918,-1.38962123111194,-0.639904865820779,-1.17376182700831,0.541145370141712,-0.69523412611255,1.3689850314058,-2.26093683029799,-2.28516676907294,0.425863770026551,-2.17574052317606,-1.2589301909051,-1.48481717283911,0.122493666167472,1.25701653982031,-1.99370897705833,0.0117204229570157,0.0417201426742742,0.100085651657953,1.73256849619917,-1.64105603756795,-0.671801255986803,0.212357970097562,0.259165908091175,0.669268752631036,-0.608198190625862,-0.511591888950327,-0.0478495137818883,0.124224743240346,-1.60436965740098,-1.49675680167386,-0.072047231031047,0.228915328072761,-1.77977436607081,1.14148893308574,-2.28366390969726,2.21617829411658,-0.936747035133798,-1.83733359240537,-0.463822494697404,-0.0420440048218382,0.448995590973701,-0.648270550386562,-2.35855131155101,-1.44129001484414,-1.25059225141535,0.910257753519192
"73",1140,2007,1462,2,1,"xavier","A10","byu","MWC",-0.206022613225142,0.186764159724166,0.102437731052726,-0.238966979121295,-0.48234612805617,-1.20389100354501,-0.123671177265176,0.0109504360917679,0.194487943901593,1.40827866718802,-0.0127872613538857,-0.175694182015556,-0.348545911422114,2.65285088852547,-0.224864046713278,0.867404771112237,1.27955351273541,-1.36420201186805,-0.774872934673706,0.269293515096966,2.28954602167927,0.716170922641469,-1.02099298796765,0.88696977513292,1.3093291763373,-1.40395623473977,0.431745453114634,-0.672438206983488,0.156505214177442,0.0321592117180418,0.683223011122504,0.648076344872875,3.09160318880832,-1.95648161820272,0.384671763100564,-1.36935479420392,0.696608986843326,0.344275323957724,-0.082996696525839,0.331902213922817,-0.376301615104326,-1.83513206494253,-0.604184059194963,0.218348853965569,NA,-1.26970371547011,-0.574315435013482,-0.367006413755204,0.0148587807370467,-0.411410577009841,-0.0702117777346384,-0.0699229725764482,-0.0856350392831822,NA,NA,-0.0597991780781231,NA,NA,NA,NA,NA
"74",1140,2008,1401,5,1,"texas a&m","B12","byu","MWC",-0.247459000078307,0.437920906711647,0.674892694047408,0.119963498370197,-1.66159159208165,-0.541248065386689,1.37353793697278,1.00444266531371,-1.31733256118887,0.62514374828457,-0.541719100529346,-0.392018056668781,1.14744418195383,0.887321838265991,0.781689723916703,-0.742822866271342,0.464698135307949,-0.760813772652556,-0.576319955950707,-0.116861402749469,-0.581537153598025,2.65395833977581,-1.01587301580946,-2.26234808303813,-1.75099912368683,1.88649731483832,-0.0493445953912814,-2.16192731729059,0.221775236805782,-1.0391930258606,0.543370106246645,0.309842352562189,0.725701603726853,1.58697674604232,-1.78001492993342,-1.37259548751563,-0.162697945041398,1.29031498813369,-0.871370165704657,0.551615033942471,-0.625303146999741,-0.328857330389087,0.358527415406081,-1.85465317188098,NA,0.10967346211599,-1.8377109800971,-1.21910768944026,0.0989215751256784,-0.742104938193029,-0.710198418542864,0.0614953540744333,0.344183913463068,NA,NA,-1.00887524536887,NA,NA,NA,NA,NA
"75",1140,2010,1196,0,0,"florida","SEC","byu","MWC",0.826538928774432,-0.934039070906935,-0.817746682918254,0.607333020986984,-1.80520342775663,-1.75815829110638,0.810402135416457,0.481022529559105,-0.845262960738584,-0.0204103249462729,-2.13225527930547,1.17622271470022,1.61622204199277,-1.16013114568366,0.830479650573602,-0.563656983967338,1.98738583404644,-1.50985956335141,-3.91935935942624,-0.231504363334195,-2.52404400000932,1.55673184638713,1.57285959506995,-0.240922209636513,-0.209762655895032,-0.629673125603029,1.39660649608822,-0.310280006423709,-0.556370310957069,-0.75151701525971,-0.305630303748168,0.128319265542238,-1.21938391106045,1.64341689449178,-0.959712378400812,-1.76539833111851,1.35433051586958,-0.0148690701296228,-2.29173367697181,-0.947024987424086,-2.21340252652474,-1.16768605635488,-1.75712058031993,-1.74478935787674,1.8745261898094,0.0532365981522935,-0.944485145154025,-0.997730787627611,-0.611221558298545,0.529886155949554,-1.18906090861251,0.861957635003031,1.16689767516725,0.0333460931549305,1.01888328877263,0.667765899162396,0.379163764893796,0.964697505360095,1.97388342113096,-1.02735921767449,0.952599318340134
